id,order_date,product_name,product_quantity,user_id
62,"2023-03-13","onion","5 Kgs.","2005698367"
63,"2023-03-13","kandipappu","1.5 Kgs.","2005698367"
64,"2023-03-13","Minappapu","3 Kgs.","2005698367"
65,"2023-03-13","Idly rava","2 Kgs.","2005698367"
66,"2023-03-13","Chintapandu","1/4 kg.","2005698367"
67,"2023-03-13","avaalu","100 gms.","2005698367"
68,"2023-03-13","velluli","1/2 kg.","2005698367"
69,"2023-03-13","Jeelakarra","1/4 kg.","2005698367"
70,"2023-03-13","gasagasalu","10/-","2005698367"
71,"2023-03-13","dhaniyalu","10/-","2005698367"
72,"2023-03-13","elachi","10/-","2005698367"
73,"2023-03-13","lavangalu","10/-","2005698367"
74,"2023-03-13","anasa puvvu","10/-","2005698367"
75,"2023-03-13","dalchina chakka","10/-","2005698367"
76,"2023-03-13","green label","100 gms.","2005698367"
77,"2023-03-13","Taj mahal tea powder","100 gms.","2005698367"
78,"2023-03-13","groundnuts","1 Kg.","2005698367"
79,"2023-03-13","saggubiyyam","1/4 kg.","2005698367"
80,"2023-03-13","pachhi senaga pappu","1/4 kg.","2005698367"
81,"2023-03-13","pesalu","1/2 kg.","2005698367"
82,"2023-03-13","menthulu","1/4 kg.","2005698367"
83,"2023-03-13","Vijaya ground nut oil","3 packets","2005698367"
84,"2023-03-13","parachute (100 gms.)","2 Packets","2005698367"
85,"2023-03-13","Nuvvulu oil","1/4 kg.","2005698367"
86,"2023-03-13","Ambica agarbathi","1 packet (100 sticks)","2005698367"
87,"2023-03-13","salt packet","1 Kg.","2005698367"
88,"2023-03-13","Miriyalu","10/-","2005698367"
89,"2023-03-13","cow ghee","50/-","2005698367"
90,"2023-03-13","karpuram","10/-","2005698367"
91,"2023-03-13","putnalu pappu","1/4 kg.","2005698367"
92,"2023-03-13","appadalu","2 packets","2005698367"
